project_id,field_name,field_value,source_url,evidence_type,evidence_snippet,asset_path_or_pdf_page,captured_date,parser_confidence,overwrite_flag,notes
clubtown,confidence_score,0.60,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
clubtown,price_status,on_request,https://wadidegladevelopments.com/project-phases/clubtown/,dom,No numeric pricing found on page; on_request or null applied,,2026-02-22,,,
neo,official_project_url,https://wadidegladevelopments.com/project-phases/neo/,https://wadidegladevelopments.com/project-phases/neo/,dom,Crawled https://wadidegladevelopments.com/project-phases/neo/; card or page URL captured,,2026-02-22,,,
neo,region,East Cairo,https://wadidegladevelopments.com/project-phases/neo/,dom,Location text extracted from page: East Cairo | Mostakbal City,,2026-02-22,,,
neo,city_area,Mostakbal City,https://wadidegladevelopments.com/project-phases/neo/,dom,Location text: Mostakbal City,,2026-02-22,,,
neo,micro_location,Heart of Mostakbal City,https://wadidegladevelopments.com/project-phases/neo/,dom,Micro-location from page: Heart of Mostakbal City,,2026-02-22,,,
neo,project_type,residential,https://wadidegladevelopments.com/project-phases/neo/,dom,Project type determined from page content: residential,,2026-02-22,,,
neo,project_status,under_construction,https://wadidegladevelopments.com/project-phases/neo/,dom,Status from page/index: under_construction,,2026-02-22,,,
neo,current_sales_status,selling,https://wadidegladevelopments.com/project-phases/neo/,dom,Sales status: selling; index card checked,,2026-02-22,,,
neo,unit_types_offered_json,"[""Apartments"", ""Duplexes""]",https://wadidegladevelopments.com/project-phases/neo/,dom,"Unit types from DOM: Apartments, Duplexes",,2026-02-22,,,
neo,key_amenities_json,"[""Green Areas"", ""Parking"", ""International School"", ""Nursery""]",https://wadidegladevelopments.com/project-phases/neo/,dom,"Amenities from DOM: Green Areas, Parking, International School, Nursery",,2026-02-22,,,
neo,beach_access_flag,false,https://wadidegladevelopments.com/project-phases/neo/,dom,beach_access_flag=false from amenities/DOM,,2026-02-22,,,
neo,lagoons_flag,false,https://wadidegladevelopments.com/project-phases/neo/,dom,lagoons_flag=false from amenities/DOM,,2026-02-22,,,
neo,clubhouse_flag,false,https://wadidegladevelopments.com/project-phases/neo/,dom,clubhouse_flag=false from amenities/DOM,,2026-02-22,,,
neo,pools_flag,false,https://wadidegladevelopments.com/project-phases/neo/,dom,pools_flag=false from amenities/DOM,,2026-02-22,,,
neo,gym_flag,false,https://wadidegladevelopments.com/project-phases/neo/,dom,gym_flag=false from amenities/DOM,,2026-02-22,,,
neo,golf_flag,false,https://wadidegladevelopments.com/project-phases/neo/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
neo,brochure_urls_json,"[""https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf""]",https://wadidegladevelopments.com/project-phases/neo/,dom,PDF links found on page: https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf,,2026-02-22,,,
neo,confidence_score,0.65,https://wadidegladevelopments.com/project-phases/neo/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
neo,price_status,on_request,https://wadidegladevelopments.com/project-phases/neo/,dom,No numeric pricing found on page; on_request or null applied,,2026-02-22,,,
vero,official_project_url,https://wadidegladevelopments.com/projects/vero/,https://wadidegladevelopments.com/projects/vero/,dom,Crawled https://wadidegladevelopments.com/projects/vero/; card or page URL captured,,2026-02-22,,,
vero,region,North Coast,https://wadidegladevelopments.com/projects/vero/,dom,Location text extracted from page: North Coast | Sidi Abd El Rahman,,2026-02-22,,,
vero,city_area,Sidi Abd El Rahman,https://wadidegladevelopments.com/projects/vero/,dom,Location text: Sidi Abd El Rahman,,2026-02-22,,,
vero,micro_location,"Sidi Abd El Rahman, elevated coastal retreat",https://wadidegladevelopments.com/projects/vero/,dom,"Micro-location from page: Sidi Abd El Rahman, elevated coastal retreat",,2026-02-22,,,
vero,project_type,resort,https://wadidegladevelopments.com/projects/vero/,dom,Project type determined from page content: resort,,2026-02-22,,,
vero,current_sales_status,selling,https://wadidegladevelopments.com/projects/vero/,dom,Sales status: selling; index card checked,,2026-02-22,,,
vero,unit_types_offered_json,"[""Serviced Apartments"", ""Residential Apartments""]",https://wadidegladevelopments.com/projects/vero/,dom,"Unit types from DOM: Serviced Apartments, Residential Apartments",,2026-02-22,,,
vero,key_amenities_json,"[""Horizon Pool"", ""24/7 Lounge Reception & Concierge"", ""Housekeeping"", ""Fitness Center""]",https://wadidegladevelopments.com/projects/vero/,dom,"Amenities from DOM: Horizon Pool, 24/7 Lounge Reception & Concierge, Housekeeping, Fitness Center",,2026-02-22,,,
vero,beach_access_flag,true,https://wadidegladevelopments.com/projects/vero/,dom,beach_access_flag=true from amenities/DOM,,2026-02-22,,,
vero,pools_flag,true,https://wadidegladevelopments.com/projects/vero/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
vero,gym_flag,true,https://wadidegladevelopments.com/projects/vero/,dom,gym_flag=true from amenities/DOM,,2026-02-22,,,
vero,brochure_urls_json,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",https://wadidegladevelopments.com/projects/vero/,dom,PDF links found on page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,2026-02-22,,,
