timestamp,request_id,session_id,endpoint,intent,kb_version_hash,keyword_hits,vector_hits,blended_hits,top_entities_json,model,tokens_in,tokens_out,latency_ms,status,error_reason,cost_estimate_usd,message_hash
2026-03-02T17:25:14.489137+00:00,ba6a3b16,test_sess_3,/api/chat,info_query,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,10,20,2,ok,,0.00035,fa8276bce993487a
2026-03-02T17:50:34.561813+00:00,c2d49a23,sess_mm9h53yrykadk,/api/chat/stream,greeting,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,4101,ok,,0.0,f2bf742ecf61b8e7
2026-03-02T17:50:58.883148+00:00,cc222891,sess_mm9h53yrykadk,/api/chat/stream,sales_intent,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,4497,ok,,0.0,3b04d7e3cbabc762
2026-03-02T17:51:58.571454+00:00,37a291bb,sess_mm9h77ulk7lfq,/api/chat/stream,greeting,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,3708,ok,,0.0,f2bf742ecf61b8e7
2026-03-02T17:52:19.160130+00:00,fb39e8e0,sess_mm9h77ulk7lfq,/api/chat/stream,sales_intent,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,4043,ok,,0.0,3b04d7e3cbabc762
2026-03-02T17:53:14.468994+00:00,5f20de11,sess_mm9h8iup5i10j,/api/chat/stream,greeting,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,5397,ok,,0.0,f2bf742ecf61b8e7
2026-03-02T17:53:21.043789+00:00,95fabe64,sess_mm9h8iup5i10j,/api/chat/stream,sales_intent,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,2828,ok,,0.0,3b04d7e3cbabc762
2026-03-02T17:55:44.967741+00:00,6debb4ac,sess_mm9h8iup5i10j,/api/chat/stream,greeting,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,3615,ok,,0.0,3639efcd08abb273
2026-03-02T18:05:33.548817+00:00,ff057331,test_session_123,/api/chat/stream,shortlist,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,5883,ok,,0.0,6a2e4cbe813bb2f9
2026-03-02T18:08:47.624774+00:00,05b85a10,test_session_124,/api/chat/stream,shortlist,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,5324,ok,,0.0,6a2e4cbe813bb2f9
2026-03-03T05:09:56.036173+00:00,0f478908,test_session_125,/api/chat/stream,shortlist,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,3438,ok,,0.0,6a2e4cbe813bb2f9
2026-03-03T05:12:05.194351+00:00,60f51d08,test_session_126,/api/chat/stream,shortlist,dcb4d66a6b47,0,0,0,[],gpt-4o-mini,0,0,4214,ok,,0.0,6a2e4cbe813bb2f9
2026-03-03T05:13:30.132977+00:00,2f888b09,test_session_127,/api/chat/stream,shortlist,dcb4d66a6b47,0,26,26,"[""clubtown"", ""blumar_hills"", ""ojo"", ""waterside""]",gpt-4o-mini,0,0,5814,ok,,0.0,6a2e4cbe813bb2f9
